supply_delay_days,personnel_available,equipment_status_score,weather_severity,mission_type,readiness_status
5,50,0.7231934451315973,Moderate,Resupply,Delayed
4,54,0.5350017560665329,Low,Training,Critical
4,76,0.8646173714568215,Moderate,Evacuation,Ready
5,65,0.8042044679400089,Low,Evacuation,Ready
5,55,0.8533171317337982,Low,Evacuation,Delayed
3,89,0.6872401999840085,Low,Recon,Ready
5,62,0.6847409670156901,Low,Evacuation,Ready
4,97,0.5226596394804472,Moderate,Training,Critical
6,84,0.6749724697648198,Low,Training,Delayed
7,68,0.9646442011310297,High,Evacuation,Critical
2,61,0.6896132685902245,Moderate,Training,Ready
5,65,0.915683853110985,Low,Evacuation,Ready
5,92,0.921162752374967,Moderate,Evacuation,Ready
6,59,0.6866205781896169,High,Resupply,Critical
4,74,0.8159943401980945,Moderate,Recon,Ready
6,69,0.5476858011365293,Low,Recon,Critical
6,80,0.5518392903671383,High,Resupply,Critical
1,53,0.5243288318308567,Moderate,Resupply,Critical
7,93,0.7905075466875547,Low,Recon,Delayed
2,72,0.7130354888130486,Low,Evacuation,Ready
11,51,0.77401617833212,Moderate,Evacuation,Critical
4,71,0.7605365952541939,Low,Recon,Ready
3,100,0.6751014955453651,High,Evacuation,Critical
8,86,0.8387367074117364,Low,Resupply,Delayed
3,57,0.8792509404581954,High,Evacuation,Critical
3,56,0.5073141294388379,Moderate,Evacuation,Critical
5,63,0.6036211498844392,Low,Training,Ready
8,52,0.8566179340416684,Low,Training,Delayed
3,99,0.693310086316917,Moderate,Training,Ready
2,65,0.8312419734708041,Moderate,Evacuation,Ready
5,68,0.6734813298672793,Moderate,Recon,Ready
3,100,0.6953775761648185,Low,Resupply,Ready
8,67,0.5793394368448425,Low,Evacuation,Critical
10,65,0.6291155098330801,Low,Recon,Critical
3,57,0.8027058787537936,Moderate,Evacuation,Delayed
2,82,0.7165815556575832,Low,Resupply,Ready
5,98,0.8871513414722976,Low,Evacuation,Ready
